record_id,domain,zone,sector,source_mass_kg,sold_mass_kg,sold_fraction,survey_weight,upper_fraction,covered
E93665D93D0F08994842,fish_farming,5,1.0,20.0,0.0,0.0,275.28949936389233,1.0,True
9D8DFF8C765F6A96B383,fish_farming,5,2.0,504.99999523162995,383.7999963760388,0.76,64.48504292716844,1.0,True
94958FD4CD6E830A8A33,fish_farming,5,1.0,680.7500183582315,661.3000178337106,0.9714285714285714,407.0364828184308,1.0,True
654CDF46AC02E35B5068,fish_farming,5,1.0,35.349999666214096,0.0,0.0,98.31320796571445,1.0,True
6C0CF3F177E94D87C67F,fish_farming,6,2.0,500.0,400.0,0.8,94.63059929880319,1.0,True
9263D6EBE739316138EC,fish_farming,6,1.0,30.299999713897797,20.1999998092652,0.6666666666666667,736.9481757765959,1.0,True
B025084FC49E2271C183,fish_farming,6,2.0,8.0,0.0,0.0,516.0000909735506,1.0,True
D9588A886684CABEB6F9,fish_farming,5,2.0,55.2119979858399,36.8079986572266,0.6666666666666666,80.11997789481255,1.0,True
4778575DF5634CCABA8F,fish_farming,5,2.0,605.9999942779559,504.99999523162995,0.8333333333333334,68.34543333766977,1.0,True
AFD6CB787CE2632C2B61,fish_farming,5,1.0,6.05999994277956,3.02999997138978,0.5,179.77970301427553,1.0,True
319B3D550B9AD76869CB,fish_farming,5,1.0,4.03999996185304,2.65915398429512,0.6582064379712116,267.2097542895478,1.0,True
D4480AE78997B19E9981,fish_farming,5,1.0,20.0,18.0,0.9,115.32192982229151,1.0,True
D9B4FA7750ED212B0BD8,fish_farming,5,1.0,179.400000572205,143.52000045776398,0.7999999999999999,383.7635428045711,1.0,True
E61A218D7A3028C26A83,fish_farming,5,1.0,77.80000209808361,29.17500078678135,0.37499999999999994,606.4680466517128,1.0,True
33F976A5564DED9CD424,fish_farming,5,1.0,1.23,0.615,0.5,208.1659719112665,1.0,True
EA79A43F81346C6B8005,fish_farming,6,1.0,600.0,0.0,0.0,1755.607103505146,1.0,True
E7F4F3CDF6596EB07006,fish_farming,5,1.0,1250.0,750.0,0.6,304.73826108639133,1.0,True
A99627360ABA06C7C3E7,fish_farming,5,1.0,1009.9999904632599,888.7999916076687,0.88,170.20249034324058,1.0,True
7CDD87276BCDD9EC8DA1,fish_farming,5,1.0,200.0,100.0,0.5,348.42883118472423,1.0,True
0C2A6B494046640A951E,fish_farming,5,1.0,807.999992370608,706.999993324282,0.875,277.74427975945525,1.0,True
F91260FF9CEBEA7A85BB,fish_farming,5,1.0,35.880000114440996,10.30000019073486,0.28706800885960176,240.32082055504537,1.0,True
CEB62BF9AEADE550F0D2,fish_farming,5,2.0,10.47399997711182,5.23699998855591,0.5,363.2690736064632,1.0,True
5DA8355157E3DB8308B0,fish_farming,5,1.0,30.299999713897797,20.1999998092652,0.6666666666666667,196.0448168153831,1.0,True
E89E1516D45454973139,fish_farming,5,1.0,3029.99997138978,3029.99997138978,1.0,74.34050518866648,1.0,True
E10C1C757DF15A98FF16,fish_farming,6,1.0,7.78000020980836,0.0,0.0,267.1275103809783,1.0,True
C3C92233AF85140EA010,fish_farming,5,1.0,389.000010490418,291.7500078678135,0.75,160.11731871368244,1.0,True
83076ED65EF4F88C8E47,fish_farming,6,1.0,127.49999761581424,97.2500026226045,0.7627451328716124,120.5746276911668,1.0,True
9B09DC76EB7A23A30A39,fish_farming,6,1.0,50.499999523163,50.499999523163,1.0,282.9520452422375,1.0,True
95787CE8D8512B20CFA3,fish_farming,5,1.0,4.0,3.0,0.75,402.67095837128204,1.0,True
BFBE2F4EF41EAC2DAEA0,fish_farming,5,1.0,31.42199993133546,26.184999942779548,0.8333333333333333,160.11731871368244,1.0,True
4C831695D81B04402A8B,fish_farming,6,1.0,605.9999942779559,504.99999523162995,0.8333333333333334,72.11152900667848,1.0,True
E1823A55A5FAEEABB8FB,fish_farming,6,2.0,353.499996662141,282.79999732971277,0.7999999999999999,96.15239036613833,1.0,True
ACE835AF3F50F2CFE3D5,fish_farming,5,1.0,30.0,20.0,0.6666666666666666,470.97868982589307,1.0,True
