source_county,month,movement_class,class_total,anchor_destination,anchor_count,conditional_remainder,total_variation_residual
CLEVELAND,8,indirect,491.0,NORTH YORKSHIRE,21.0,470.0,0.1852376558052483
CLWYD,6,direct,2472.0,SHROPSHIRE,554.0,1918.0,0.07974452846309468
CLWYD,6,indirect,906.0,SHROPSHIRE,101.0,805.0,0.12645163035962312
CLWYD,7,direct,2659.0,SHROPSHIRE,744.0,1915.0,0.11516021916812945
CLWYD,7,indirect,850.0,SHROPSHIRE,128.0,722.0,0.14066216516989216
CLWYD,8,direct,2537.0,SHROPSHIRE,714.0,1823.0,0.1526733152783196
CLWYD,8,indirect,896.0,SHROPSHIRE,131.0,765.0,0.19166429398477688
CORNWALL,6,direct,6231.0,DEVON,367.0,5864.0,0.02262028795679169
CORNWALL,6,indirect,650.0,DEVON,203.0,447.0,0.06423250476882718
CORNWALL,7,direct,6628.0,DEVON,312.0,6316.0,0.016949674766460785
CORNWALL,7,indirect,631.0,DEVON,183.0,448.0,0.1246294078379015
CORNWALL,8,direct,6215.0,DEVON,373.0,5842.0,0.0256663012107668
CORNWALL,8,indirect,695.0,DEVON,212.0,483.0,0.09337940783790152
CUMBRIA,6,direct,6601.0,LANCASHIRE,2641.0,3960.0,0.05968475085850553
CUMBRIA,6,indirect,2184.0,LANCASHIRE,455.0,1729.0,0.10316657027183343
CUMBRIA,7,direct,5891.0,LANCASHIRE,2145.0,3746.0,0.06633140775355748
CUMBRIA,7,indirect,1848.0,LANCASHIRE,388.0,1460.0,0.08600743164549941
CUMBRIA,8,direct,6609.0,LANCASHIRE,2409.0,4200.0,0.07487323898933194
CUMBRIA,8,indirect,2082.0,LANCASHIRE,436.0,1646.0,0.1271334384423532
DERBYSHIRE,6,direct,3085.0,STAFFORDSHIRE,481.0,2604.0,0.09219305504532484
DERBYSHIRE,6,indirect,896.0,STAFFORDSHIRE,223.0,673.0,0.1715680767702925
DERBYSHIRE,7,direct,3171.0,STAFFORDSHIRE,582.0,2589.0,0.14927794607567269
DERBYSHIRE,7,indirect,1002.0,STAFFORDSHIRE,311.0,691.0,0.2588474687920519
DERBYSHIRE,8,direct,3031.0,STAFFORDSHIRE,581.0,2450.0,0.08352868467734123
DERBYSHIRE,8,indirect,889.0,STAFFORDSHIRE,273.0,616.0,0.1634384711157899
DEVON,6,direct,11273.0,CORNWALL,4223.0,7050.0,0.08105609528195179
DEVON,6,indirect,1516.0,CORNWALL,196.0,1320.0,0.08559080740288792
DEVON,7,direct,11198.0,CORNWALL,4132.0,7066.0,0.07028870826601906
DEVON,7,indirect,1250.0,CORNWALL,191.0,1059.0,0.11765880183280415
DEVON,8,direct,10678.0,CORNWALL,3664.0,7014.0,0.0837887458655169
DEVON,8,indirect,1252.0,CORNWALL,170.0,1082.0,0.08430944435484873
DORSET,6,direct,1622.0,SOMERSET,623.0,999.0,0.20809654275789735
DORSET,6,indirect,202.0,SOMERSET,23.0,179.0,0.19809208801403708
DORSET,7,direct,1580.0,SOMERSET,411.0,1169.0,0.2064486091372558
DORSET,7,indirect,197.0,SOMERSET,32.0,165.0,0.1333552127775954
DORSET,8,direct,1606.0,SOMERSET,577.0,1029.0,0.16582648995853325
DORSET,8,indirect,162.0,SOMERSET,26.0,136.0,0.1408296170453741
DUMFRIES & GALLOWAY,6,direct,6335.0,STRATHCLYDE,2811.0,3524.0,0.04429993011047008
DUMFRIES & GALLOWAY,6,indirect,627.0,STRATHCLYDE,183.0,444.0,0.21479374110953056
DUMFRIES & GALLOWAY,7,direct,6896.0,STRATHCLYDE,2665.0,4231.0,0.05758071814001111
DUMFRIES & GALLOWAY,7,indirect,545.0,STRATHCLYDE,204.0,341.0,0.12358708453784854
DUMFRIES & GALLOWAY,8,direct,7340.0,STRATHCLYDE,2892.0,4448.0,0.05276102000174615
DUMFRIES & GALLOWAY,8,indirect,713.0,STRATHCLYDE,261.0,452.0,0.14994733904841032
DURHAM,6,direct,3878.0,LANCASHIRE,846.0,3032.0,0.12077838897810668
DURHAM,6,indirect,1199.0,LANCASHIRE,96.0,1103.0,0.12960023585709515
DURHAM,7,direct,3805.0,LANCASHIRE,612.0,3193.0,0.13470527775803307
DURHAM,7,indirect,1136.0,LANCASHIRE,45.0,1091.0,0.14710326457757594
DURHAM,8,direct,3377.0,LANCASHIRE,462.0,2915.0,0.1387526065974864
DURHAM,8,indirect,952.0,LANCASHIRE,27.0,925.0,0.20246799431009957
DYFED,6,direct,6674.0,MID GLAMORGAN,751.0,5923.0,0.09717914981184632
DYFED,6,indirect,1637.0,MID GLAMORGAN,68.0,1569.0,0.12491137989558941
DYFED,7,direct,6790.0,MID GLAMORGAN,883.0,5907.0,0.07595059218617033
DYFED,7,indirect,1749.0,MID GLAMORGAN,137.0,1612.0,0.09057071960297768
DYFED,8,direct,7478.0,MID GLAMORGAN,1047.0,6431.0,0.11220765078298975
DYFED,8,indirect,1918.0,MID GLAMORGAN,103.0,1815.0,0.1537785928746092
EAST SUSSEX,6,direct,631.0,MID GLAMORGAN,129.0,502.0,0.14539768387589536
EAST SUSSEX,6,indirect,62.0,MID GLAMORGAN,0.0,62.0,0.17565070482023123
EAST SUSSEX,7,direct,743.0,MID GLAMORGAN,184.0,559.0,0.1982884870280942
EAST SUSSEX,7,indirect,67.0,MID GLAMORGAN,0.0,67.0,0.23274788089014828
EAST SUSSEX,8,direct,897.0,MID GLAMORGAN,151.0,746.0,0.215798594229674
EAST SUSSEX,8,indirect,98.0,MID GLAMORGAN,0.0,98.0,0.28713383880557136
ESSEX,6,direct,1156.0,NORFOLK,123.0,1033.0,0.1405395342034965
ESSEX,6,indirect,236.0,NORFOLK,38.0,198.0,0.07239057239057238
ESSEX,7,direct,896.0,NORFOLK,94.0,802.0,0.1149183693685257
ESSEX,7,indirect,181.0,NORFOLK,26.0,155.0,0.16696075728333795
ESSEX,8,direct,1118.0,NORFOLK,187.0,931.0,0.1167970004082425
ESSEX,8,indirect,215.0,NORFOLK,38.0,177.0,0.1431503211164228
FIFE,6,direct,1529.0,CENTRAL,665.0,864.0,0.1510991429913125
FIFE,6,indirect,278.0,CENTRAL,54.0,224.0,0.17337291515591005
FIFE,7,direct,1321.0,CENTRAL,568.0,753.0,0.10361153803818926
FIFE,7,indirect,227.0,CENTRAL,20.0,207.0,0.1115427058044582
FIFE,8,direct,1232.0,CENTRAL,541.0,691.0,0.16607208570664525
FIFE,8,indirect,228.0,CENTRAL,21.0,207.0,0.09589249368547535
GLOUCESTERSHIRE,6,direct,3426.0,MID GLAMORGAN,821.0,2605.0,0.14779882130651592
GLOUCESTERSHIRE,6,indirect,267.0,MID GLAMORGAN,0.0,267.0,0.2127371586338432
GLOUCESTERSHIRE,7,direct,3088.0,MID GLAMORGAN,724.0,2364.0,0.17100603270374032
GLOUCESTERSHIRE,7,indirect,249.0,MID GLAMORGAN,0.0,249.0,0.15972720450590866
GLOUCESTERSHIRE,8,direct,2708.0,MID GLAMORGAN,508.0,2200.0,0.16418665557455595
GLOUCESTERSHIRE,8,indirect,264.0,MID GLAMORGAN,0.0,264.0,0.2895666106651733
GRAMPIAN,6,direct,12789.0,TAYSIDE,1117.0,11672.0,0.012785904226511748
GRAMPIAN,6,indirect,293.0,TAYSIDE,35.0,258.0,0.2631472868217054
GRAMPIAN,7,direct,12314.0,TAYSIDE,1057.0,11257.0,0.015071624389919757
GRAMPIAN,7,indirect,357.0,TAYSIDE,50.0,307.0,0.2928925081433225
GRAMPIAN,8,direct,12232.0,TAYSIDE,1045.0,11187.0,0.03526887843998562
GRAMPIAN,8,indirect,314.0,TAYSIDE,55.0,259.0,0.1978095238095238
GREATER LONDON,6,direct,23.0,BEDFORDSHIRE,0.0,23.0,0.4057971014492754
GREATER LONDON,6,indirect,4.0,BEDFORDSHIRE,1.0,3.0,0.9285714285714286
GREATER LONDON,7,direct,7.0,BEDFORDSHIRE,0.0,7.0,0.3333333333333333
GREATER LONDON,7,indirect,4.0,BEDFORDSHIRE,0.0,4.0,0.7857142857142857
GREATER LONDON,8,direct,30.0,BEDFORDSHIRE,11.0,19.0,0.4967105263157895
GREATER LONDON,8,indirect,2.0,BEDFORDSHIRE,0.0,2.0,0.9285714285714286
GREATER MANCHESTER,6,direct,710.0,LANCASHIRE,206.0,504.0,0.07173139158576051
GREATER MANCHESTER,6,indirect,93.0,LANCASHIRE,10.0,83.0,0.21357699706388578
GREATER MANCHESTER,7,direct,671.0,LANCASHIRE,124.0,547.0,0.07931346621465715
GREATER MANCHESTER,7,indirect,144.0,LANCASHIRE,9.0,135.0,0.23820417055711177
GREATER MANCHESTER,8,direct,685.0,LANCASHIRE,152.0,533.0,0.03491575438532579
GREATER MANCHESTER,8,indirect,114.0,LANCASHIRE,9.0,105.0,0.19341736694677872
GWENT,6,direct,997.0,MID GLAMORGAN,460.0,537.0,0.24001509059842557
GWENT,6,indirect,238.0,MID GLAMORGAN,0.0,238.0,0.2284791137779829
GWENT,7,direct,902.0,MID GLAMORGAN,396.0,506.0,0.1492789315803604
GWENT,7,indirect,151.0,MID GLAMORGAN,0.0,151.0,0.27967561437481947
GWENT,8,direct,940.0,MID GLAMORGAN,380.0,560.0,0.22951301250771217
GWENT,8,indirect,127.0,MID GLAMORGAN,0.0,127.0,0.3758411458664597
GWYNEDD,6,direct,1232.0,LANCASHIRE,463.0,769.0,0.27124153479810176
