source_county,month,movement_class,class_total,anchor_destination,anchor_count,conditional_remainder,total_variation_residual
SHETLAND,7,indirect,2.0,CUMBRIA,0.0,2.0,0.6153846153846154
SHETLAND,8,direct,8.0,CUMBRIA,0.0,8.0,0.08108108108108106
SHETLAND,8,indirect,6.0,CUMBRIA,5.0,1.0,0.6153846153846154
SHROPSHIRE,6,direct,9722.0,STAFFORDSHIRE,1438.0,8284.0,0.05519753261539399
SHROPSHIRE,6,indirect,2674.0,STAFFORDSHIRE,789.0,1885.0,0.12646889136449713
SHROPSHIRE,7,direct,8107.0,STAFFORDSHIRE,1086.0,7021.0,0.14103365370368015
SHROPSHIRE,7,indirect,2065.0,STAFFORDSHIRE,614.0,1451.0,0.18212246694885081
SHROPSHIRE,8,direct,9425.0,STAFFORDSHIRE,1296.0,8129.0,0.10066705358789813
SHROPSHIRE,8,indirect,2294.0,STAFFORDSHIRE,559.0,1735.0,0.16881885791622508
SOMERSET,6,direct,4830.0,AVON,542.0,4288.0,0.07334036409420873
SOMERSET,6,indirect,697.0,AVON,102.0,595.0,0.15298913544721743
SOMERSET,7,direct,4219.0,AVON,476.0,3743.0,0.10852947098599162
SOMERSET,7,indirect,537.0,AVON,42.0,495.0,0.1447722759105638
SOMERSET,8,direct,4620.0,AVON,523.0,4097.0,0.14672527047182382
SOMERSET,8,indirect,644.0,AVON,99.0,545.0,0.1921714839715651
SOUTH GLAMORGAN,6,direct,429.0,MID GLAMORGAN,188.0,241.0,0.4119568846282253
SOUTH GLAMORGAN,6,indirect,24.0,MID GLAMORGAN,0.0,24.0,0.38583815028901736
SOUTH GLAMORGAN,7,direct,359.0,MID GLAMORGAN,158.0,201.0,0.34307771487390637
SOUTH GLAMORGAN,7,indirect,21.0,MID GLAMORGAN,0.0,21.0,0.48609964216900636
SOUTH GLAMORGAN,8,direct,235.0,MID GLAMORGAN,134.0,101.0,0.3558438602480938
SOUTH GLAMORGAN,8,indirect,25.0,MID GLAMORGAN,0.0,25.0,0.36647398843930634
SOUTH YORKSHIRE,6,direct,922.0,WEST YORKSHIRE,128.0,794.0,0.0767456258640138
SOUTH YORKSHIRE,6,indirect,355.0,WEST YORKSHIRE,91.0,264.0,0.21605795950774118
SOUTH YORKSHIRE,7,direct,1032.0,WEST YORKSHIRE,83.0,949.0,0.11049022007926117
SOUTH YORKSHIRE,7,indirect,280.0,WEST YORKSHIRE,81.0,199.0,0.19804261482082902
SOUTH YORKSHIRE,8,direct,1107.0,WEST YORKSHIRE,134.0,973.0,0.20611682482186078
SOUTH YORKSHIRE,8,indirect,271.0,WEST YORKSHIRE,98.0,173.0,0.24206779917712096
STAFFORDSHIRE,6,direct,3378.0,SHROPSHIRE,1050.0,2328.0,0.1044626531927372
STAFFORDSHIRE,6,indirect,1076.0,SHROPSHIRE,67.0,1009.0,0.1515119628837584
STAFFORDSHIRE,7,direct,3998.0,SHROPSHIRE,1018.0,2980.0,0.09433847948440079
STAFFORDSHIRE,7,indirect,1032.0,SHROPSHIRE,82.0,950.0,0.17800106537429106
STAFFORDSHIRE,8,direct,4111.0,SHROPSHIRE,817.0,3294.0,0.07922229336595617
STAFFORDSHIRE,8,indirect,1210.0,SHROPSHIRE,77.0,1133.0,0.15721065013284727
STRATHCLYDE,6,direct,5024.0,CENTRAL,890.0,4134.0,0.03419591388251445
STRATHCLYDE,6,indirect,754.0,CENTRAL,22.0,732.0,0.10983640498252042
STRATHCLYDE,7,direct,4729.0,CENTRAL,876.0,3853.0,0.046995071291261396
STRATHCLYDE,7,indirect,685.0,CENTRAL,22.0,663.0,0.17909633418584828
STRATHCLYDE,8,direct,5682.0,CENTRAL,924.0,4758.0,0.008227723004049774
STRATHCLYDE,8,indirect,1121.0,CENTRAL,26.0,1095.0,0.07974134263592277
SUFFOLK,6,direct,1273.0,LINCOLNSHIRE,527.0,746.0,0.07269883824843607
SUFFOLK,6,indirect,293.0,LINCOLNSHIRE,3.0,290.0,0.05987771190912193
SUFFOLK,7,direct,958.0,LINCOLNSHIRE,369.0,589.0,0.10678088182332665
SUFFOLK,7,indirect,166.0,LINCOLNSHIRE,1.0,165.0,0.13915391539153912
SUFFOLK,8,direct,1125.0,LINCOLNSHIRE,432.0,693.0,0.45320346320346316
SUFFOLK,8,indirect,222.0,LINCOLNSHIRE,1.0,221.0,0.14855150673438383
SURREY,6,direct,501.0,HAMPSHIRE,53.0,448.0,0.08087507836376459
SURREY,6,indirect,48.0,HAMPSHIRE,12.0,36.0,0.3904494382022472
SURREY,7,direct,459.0,HAMPSHIRE,101.0,358.0,0.08864999371776527
SURREY,7,indirect,46.0,HAMPSHIRE,12.0,34.0,0.6728354263053536
SURREY,8,direct,240.0,HAMPSHIRE,27.0,213.0,0.07105091694802204
SURREY,8,indirect,50.0,HAMPSHIRE,16.0,34.0,0.5128883013879709
TAYSIDE,6,direct,4425.0,CENTRAL,1573.0,2852.0,0.037333344906160526
TAYSIDE,6,indirect,267.0,CENTRAL,33.0,234.0,0.0827749342696305
TAYSIDE,7,direct,3537.0,CENTRAL,1081.0,2456.0,0.03207437429520386
TAYSIDE,7,indirect,211.0,CENTRAL,27.0,184.0,0.08051025114250972
TAYSIDE,8,direct,3080.0,CENTRAL,788.0,2292.0,0.0843890622230439
TAYSIDE,8,indirect,255.0,CENTRAL,19.0,236.0,0.18744585914387984
TYNE & WEAR,6,direct,193.0,CENTRAL,100.0,93.0,0.1767313866381287
TYNE & WEAR,6,indirect,23.0,CENTRAL,0.0,23.0,0.41495041952707856
TYNE & WEAR,7,direct,167.0,CENTRAL,78.0,89.0,0.20666702167314552
TYNE & WEAR,7,indirect,11.0,CENTRAL,0.0,11.0,0.5225943646996278
TYNE & WEAR,8,direct,233.0,CENTRAL,136.0,97.0,0.19677203954332992
TYNE & WEAR,8,indirect,29.0,CENTRAL,0.0,29.0,0.4785238959467634
WARWICKSHIRE,6,direct,1569.0,LINCOLNSHIRE,412.0,1157.0,0.13063958513396715
WARWICKSHIRE,6,indirect,271.0,LINCOLNSHIRE,38.0,233.0,0.2766891477621091
WARWICKSHIRE,7,direct,1388.0,LINCOLNSHIRE,371.0,1017.0,0.24972338379418024
WARWICKSHIRE,7,indirect,323.0,LINCOLNSHIRE,32.0,291.0,0.34245949926362296
WARWICKSHIRE,8,direct,1431.0,LINCOLNSHIRE,406.0,1025.0,0.15540069686411148
WARWICKSHIRE,8,indirect,273.0,LINCOLNSHIRE,44.0,229.0,0.25219900187149097
WEST GLAMORGAN,6,direct,192.0,MID GLAMORGAN,47.0,145.0,0.38638838475499093
WEST GLAMORGAN,6,indirect,26.0,MID GLAMORGAN,0.0,26.0,0.29452762003097577
WEST GLAMORGAN,7,direct,138.0,MID GLAMORGAN,49.0,89.0,0.41859476641040805
WEST GLAMORGAN,7,indirect,24.0,MID GLAMORGAN,0.0,24.0,0.3526286353467562
WEST GLAMORGAN,8,direct,139.0,MID GLAMORGAN,58.0,81.0,0.36241065627030533
WEST GLAMORGAN,8,indirect,38.0,MID GLAMORGAN,0.0,38.0,0.427057576827976
WEST MIDLANDS,6,direct,27.0,MID GLAMORGAN,5.0,22.0,0.5987012987012987
WEST MIDLANDS,6,indirect,29.0,MID GLAMORGAN,0.0,29.0,0.45836265540699034
WEST MIDLANDS,7,direct,22.0,MID GLAMORGAN,10.0,12.0,0.37857142857142856
WEST MIDLANDS,7,indirect,38.0,MID GLAMORGAN,0.0,38.0,0.3677049767275331
WEST MIDLANDS,8,direct,31.0,MID GLAMORGAN,10.0,21.0,0.24047619047619045
WEST MIDLANDS,8,indirect,30.0,MID GLAMORGAN,0.0,30.0,0.3884353741496599
WEST SUSSEX,6,direct,840.0,SOMERSET,417.0,423.0,0.1736449231863759
WEST SUSSEX,6,indirect,36.0,SOMERSET,8.0,28.0,0.3385281385281385
WEST SUSSEX,7,direct,1093.0,SOMERSET,532.0,561.0,0.16745804905034115
WEST SUSSEX,7,indirect,42.0,SOMERSET,16.0,26.0,0.4377622377622377
WEST SUSSEX,8,direct,1093.0,SOMERSET,386.0,707.0,0.27599065325251737
WEST SUSSEX,8,indirect,48.0,SOMERSET,11.0,37.0,0.4285012285012285
WEST YORKSHIRE,6,direct,1682.0,SOUTH YORKSHIRE,325.0,1357.0,0.09788498040114355
WEST YORKSHIRE,6,indirect,583.0,SOUTH YORKSHIRE,27.0,556.0,0.1947756434028035
WEST YORKSHIRE,7,direct,1382.0,SOUTH YORKSHIRE,313.0,1069.0,0.07177075532585256
WEST YORKSHIRE,7,indirect,544.0,SOUTH YORKSHIRE,30.0,514.0,0.1430053351518312
WEST YORKSHIRE,8,direct,1437.0,SOUTH YORKSHIRE,302.0,1135.0,0.06351280648292004
WEST YORKSHIRE,8,indirect,493.0,SOUTH YORKSHIRE,26.0,467.0,0.14945760392061636
WESTERN ISLES,6,direct,4.0,HIGHLAND,0.0,4.0,0.0
WESTERN ISLES,7,direct,3.0,HIGHLAND,0.0,3.0,0.0
WESTERN ISLES,8,direct,4.0,HIGHLAND,0.0,4.0,0.25
WILTSHIRE,6,direct,2146.0,SOMERSET,627.0,1519.0,0.08789665628613669
WILTSHIRE,6,indirect,161.0,SOMERSET,31.0,130.0,0.2061926605504587
WILTSHIRE,7,direct,2063.0,SOMERSET,537.0,1526.0,0.12439793150011436
WILTSHIRE,7,indirect,185.0,SOMERSET,34.0,151.0,0.20093110152500152
WILTSHIRE,8,direct,2106.0,SOMERSET,783.0,1323.0,0.10481190037840282
WILTSHIRE,8,indirect,130.0,SOMERSET,15.0,115.0,0.29611088950937375
