Month & Year of Movement,From County,To County,To Location Type,Direct Movements,Indirect Movements
Jan-10,AVON,AVON,Slaughterhouse,586,11
Jan-10,AVON,BEDFORDSHIRE,Slaughterhouse,34,12
Jan-10,AVON,CENTRAL,Slaughterhouse,0,0
Jan-10,AVON,CORNWALL,Slaughterhouse,5,14
Jan-10,AVON,CUMBRIA,Slaughterhouse,0,1
Jan-10,AVON,DEVON,Slaughterhouse,0,17
Jan-10,AVON,DYFED,Slaughterhouse,5,4
Jan-10,AVON,GLOUCESTERSHIRE,Slaughterhouse,9,27
Jan-10,AVON,LANCASHIRE,Slaughterhouse,26,8
Jan-10,AVON,LINCOLNSHIRE,Slaughterhouse,114,5
Jan-10,AVON,MID GLAMORGAN,Slaughterhouse,169,0
Jan-10,AVON,OXFORDSHIRE,Slaughterhouse,0,13
Jan-10,AVON,SHROPSHIRE,Slaughterhouse,5,16
Jan-10,AVON,SOMERSET,Slaughterhouse,87,6
Jan-10,AVON,WILTSHIRE,Slaughterhouse,505,5
Jan-10,AVON,0,Slaughterhouse,8,35
Jan-10,BEDFORDSHIRE,BEDFORDSHIRE,Slaughterhouse,195,0
Jan-10,BEDFORDSHIRE,CAMBRIDGESHIRE,Slaughterhouse,13,0
Jan-10,BEDFORDSHIRE,GREATER LONDON,Slaughterhouse,4,0
Jan-10,BEDFORDSHIRE,LEICESTERSHIRE,Slaughterhouse,3,0
Jan-10,BEDFORDSHIRE,LINCOLNSHIRE,Slaughterhouse,75,2
Jan-10,BEDFORDSHIRE,OXFORDSHIRE,Slaughterhouse,2,3
Jan-10,BEDFORDSHIRE,SHROPSHIRE,Slaughterhouse,28,0
Jan-10,BEDFORDSHIRE,SOUTH YORKSHIRE,Slaughterhouse,0,2
Jan-10,BERKSHIRE,AVON,Slaughterhouse,42,2
Jan-10,BERKSHIRE,BEDFORDSHIRE,Slaughterhouse,44,0
Jan-10,BERKSHIRE,CUMBRIA,Slaughterhouse,2,0
Jan-10,BERKSHIRE,DEVON,Slaughterhouse,0,2
Jan-10,BERKSHIRE,HAMPSHIRE,Slaughterhouse,148,0
Jan-10,BERKSHIRE,LINCOLNSHIRE,Slaughterhouse,34,0
Jan-10,BERKSHIRE,MID GLAMORGAN,Slaughterhouse,14,0
Jan-10,BERKSHIRE,OXFORDSHIRE,Slaughterhouse,12,6
Jan-10,BERKSHIRE,SOMERSET,Slaughterhouse,107,1
Jan-10,BERKSHIRE,SOUTH YORKSHIRE,Slaughterhouse,5,12
Jan-10,BERKSHIRE,SURREY,Slaughterhouse,91,0
Jan-10,BERKSHIRE,WILTSHIRE,Slaughterhouse,2,4
Jan-10,BERKSHIRE,,Slaughterhouse,42,0
Jan-10,BORDERS,BORDERS,Slaughterhouse,234,117
Jan-10,BORDERS,CENTRAL,Slaughterhouse,957,56
Jan-10,BORDERS,CLEVELAND,Slaughterhouse,3,6
Jan-10,BORDERS,CUMBRIA,Slaughterhouse,2,13
Jan-10,BORDERS,DERBYSHIRE,Slaughterhouse,0,3
Jan-10,BORDERS,DEVON,Slaughterhouse,0,2
Jan-10,BORDERS,DURHAM,Slaughterhouse,26,15
Jan-10,BORDERS,GRAMPIAN,Slaughterhouse,238,26
Jan-10,BORDERS,GREATER MANCHESTER,Slaughterhouse,0,5
Jan-10,BORDERS,HIGHLAND,Slaughterhouse,64,20
Jan-10,BORDERS,LANCASHIRE,Slaughterhouse,8,0
Jan-10,BORDERS,NORTH YORKSHIRE,Slaughterhouse,3,1
Jan-10,BORDERS,SOUTH YORKSHIRE,Slaughterhouse,202,9
Jan-10,BORDERS,STRATHCLYDE,Slaughterhouse,"1,298",118
Jan-10,BORDERS,TAYSIDE,Slaughterhouse,157,52
Jan-10,BORDERS,TYNE & WEAR,Slaughterhouse,13,0
Jan-10,BORDERS,WEST YORKSHIRE,Slaughterhouse,102,69
Jan-10,BORDERS,,Slaughterhouse,84,29
Jan-10,BUCKINGHAMSHIRE,AVON,Slaughterhouse,8,0
Jan-10,BUCKINGHAMSHIRE,BEDFORDSHIRE,Slaughterhouse,246,0
Jan-10,BUCKINGHAMSHIRE,CAMBRIDGESHIRE,Slaughterhouse,1,0
Jan-10,BUCKINGHAMSHIRE,CENTRAL,Slaughterhouse,61,0
Jan-10,BUCKINGHAMSHIRE,CORNWALL,Slaughterhouse,40,0
Jan-10,BUCKINGHAMSHIRE,DERBYSHIRE,Slaughterhouse,0,1
Jan-10,BUCKINGHAMSHIRE,GREATER LONDON,Slaughterhouse,25,0
Jan-10,BUCKINGHAMSHIRE,HAMPSHIRE,Slaughterhouse,5,7
Jan-10,BUCKINGHAMSHIRE,LANCASHIRE,Slaughterhouse,253,0
Jan-10,BUCKINGHAMSHIRE,LINCOLNSHIRE,Slaughterhouse,339,3
Jan-10,BUCKINGHAMSHIRE,MID GLAMORGAN,Slaughterhouse,275,71
Jan-10,BUCKINGHAMSHIRE,NORFOLK,Slaughterhouse,0,1
Jan-10,BUCKINGHAMSHIRE,OXFORDSHIRE,Slaughterhouse,28,14
Jan-10,BUCKINGHAMSHIRE,SHROPSHIRE,Slaughterhouse,6,0
Jan-10,BUCKINGHAMSHIRE,SOMERSET,Slaughterhouse,8,0
Jan-10,BUCKINGHAMSHIRE,SOUTH YORKSHIRE,Slaughterhouse,88,50
Jan-10,BUCKINGHAMSHIRE,SURREY,Slaughterhouse,179,10
Jan-10,BUCKINGHAMSHIRE,WARWICKSHIRE,Slaughterhouse,1,0
Jan-10,BUCKINGHAMSHIRE,WEST YORKSHIRE,Slaughterhouse,0,2
Jan-10,BUCKINGHAMSHIRE,,Slaughterhouse,141,0
Jan-10,CAMBRIDGESHIRE,BEDFORDSHIRE,Slaughterhouse,181,7
Jan-10,CAMBRIDGESHIRE,CAMBRIDGESHIRE,Slaughterhouse,44,0
Jan-10,CAMBRIDGESHIRE,CHESHIRE,Slaughterhouse,0,1
Jan-10,CAMBRIDGESHIRE,CORNWALL,Slaughterhouse,86,0
Jan-10,CAMBRIDGESHIRE,DERBYSHIRE,Slaughterhouse,0,4
Jan-10,CAMBRIDGESHIRE,ESSEX,Slaughterhouse,4,18
Jan-10,CAMBRIDGESHIRE,GREATER MANCHESTER,Slaughterhouse,0,6
Jan-10,CAMBRIDGESHIRE,HAMPSHIRE,Slaughterhouse,0,4
Jan-10,CAMBRIDGESHIRE,LINCOLNSHIRE,Slaughterhouse,429,41
Jan-10,CAMBRIDGESHIRE,NORFOLK,Slaughterhouse,23,24
Jan-10,CAMBRIDGESHIRE,NORTH YORKSHIRE,Slaughterhouse,0,19
Jan-10,CAMBRIDGESHIRE,NOTTINGHAMSHIRE,Slaughterhouse,0,17
Jan-10,CAMBRIDGESHIRE,OXFORDSHIRE,Slaughterhouse,0,2
Jan-10,CAMBRIDGESHIRE,SHROPSHIRE,Slaughterhouse,26,2
Jan-10,CAMBRIDGESHIRE,SOUTH YORKSHIRE,Slaughterhouse,0,6
Jan-10,CAMBRIDGESHIRE,STAFFORDSHIRE,Slaughterhouse,0,5
Jan-10,CAMBRIDGESHIRE,SURREY,Slaughterhouse,0,1
Jan-10,CAMBRIDGESHIRE,WEST YORKSHIRE,Slaughterhouse,0,9
Jan-10,CAMBRIDGESHIRE,,Slaughterhouse,1,34
Jan-10,CENTRAL,BORDERS,Slaughterhouse,0,1
Jan-10,CENTRAL,CENTRAL,Slaughterhouse,670,87
Jan-10,CENTRAL,CUMBRIA,Slaughterhouse,55,6
Jan-10,CENTRAL,DERBYSHIRE,Slaughterhouse,39,12
Jan-10,CENTRAL,FIFE,Slaughterhouse,0,0
Jan-10,CENTRAL,GRAMPIAN,Slaughterhouse,123,37
Jan-10,CENTRAL,HIGHLAND,Slaughterhouse,5,2
Jan-10,CENTRAL,LANCASHIRE,Slaughterhouse,81,14
Jan-10,CENTRAL,SOUTH YORKSHIRE,Slaughterhouse,0,1
Jan-10,CENTRAL,STRATHCLYDE,Slaughterhouse,418,114
Jan-10,CENTRAL,TAYSIDE,Slaughterhouse,255,29
Jan-10,CENTRAL,,Slaughterhouse,114,28
Jan-10,CHESHIRE,AVON,Slaughterhouse,191,114
Jan-10,CHESHIRE,BEDFORDSHIRE,Slaughterhouse,79,74
Jan-10,CHESHIRE,CHESHIRE,Slaughterhouse,754,152
Jan-10,CHESHIRE,CLWYD,Slaughterhouse,22,3
Jan-10,CHESHIRE,CUMBRIA,Slaughterhouse,29,4
Jan-10,CHESHIRE,DERBYSHIRE,Slaughterhouse,22,2
Jan-10,CHESHIRE,DEVON,Slaughterhouse,255,237
Jan-10,CHESHIRE,DURHAM,Slaughterhouse,0,17
Jan-10,CHESHIRE,GREATER MANCHESTER,Slaughterhouse,108,76
Jan-10,CHESHIRE,GWYNEDD,Slaughterhouse,0,4
Jan-10,CHESHIRE,HUMBERSIDE,Slaughterhouse,77,25
Jan-10,CHESHIRE,LANCASHIRE,Slaughterhouse,706,9
Jan-10,CHESHIRE,LINCOLNSHIRE,Slaughterhouse,87,0
Jan-10,CHESHIRE,SHROPSHIRE,Slaughterhouse,518,60
Jan-10,CHESHIRE,SOMERSET,Slaughterhouse,0,4
Jan-10,CHESHIRE,SOUTH YORKSHIRE,Slaughterhouse,75,24
Jan-10,CHESHIRE,STAFFORDSHIRE,Slaughterhouse,385,174
Jan-10,CHESHIRE,STRATHCLYDE,Slaughterhouse,157,68
Jan-10,CHESHIRE,SURREY,Slaughterhouse,6,0
Jan-10,CHESHIRE,TYNE & WEAR,Slaughterhouse,0,1
Jan-10,CHESHIRE,WEST YORKSHIRE,Slaughterhouse,61,47
Jan-10,CHESHIRE,WILTSHIRE,Slaughterhouse,27,14
Jan-10,CHESHIRE,,Slaughterhouse,643,285
Jan-10,CLEVELAND,BORDERS,Slaughterhouse,0,3
Jan-10,CLEVELAND,CENTRAL,Slaughterhouse,0,14
Jan-10,CLEVELAND,CLEVELAND,Slaughterhouse,24,74
Jan-10,CLEVELAND,DERBYSHIRE,Slaughterhouse,0,6
Jan-10,CLEVELAND,DURHAM,Slaughterhouse,18,92
Jan-10,CLEVELAND,GREATER MANCHESTER,Slaughterhouse,2,59
Jan-10,CLEVELAND,HUMBERSIDE,Slaughterhouse,14,2
Jan-10,CLEVELAND,LANCASHIRE,Slaughterhouse,0,10
Jan-10,CLEVELAND,LINCOLNSHIRE,Slaughterhouse,2,13
Jan-10,CLEVELAND,NORTH YORKSHIRE,Slaughterhouse,106,26
Jan-10,CLEVELAND,SHROPSHIRE,Slaughterhouse,0,16
Jan-10,CLEVELAND,SOMERSET,Slaughterhouse,0,21
Jan-10,CLEVELAND,TAYSIDE,Slaughterhouse,0,20
Jan-10,CLEVELAND,WEST YORKSHIRE,Slaughterhouse,12,70
Jan-10,CLEVELAND,,Slaughterhouse,2,10
Jan-10,CLWYD,AVON,Slaughterhouse,50,54
Jan-10,CLWYD,BEDFORDSHIRE,Slaughterhouse,0,6
Jan-10,CLWYD,CHESHIRE,Slaughterhouse,152,46
Jan-10,CLWYD,CLWYD,Slaughterhouse,256,73
Jan-10,CLWYD,CUMBRIA,Slaughterhouse,0,1
Jan-10,CLWYD,DEVON,Slaughterhouse,5,37
Jan-10,CLWYD,DORSET,Slaughterhouse,1,0
Jan-10,CLWYD,DURHAM,Slaughterhouse,0,5
Jan-10,CLWYD,GREATER MANCHESTER,Slaughterhouse,67,67
Jan-10,CLWYD,GWYNEDD,Slaughterhouse,109,114
Jan-10,CLWYD,HUMBERSIDE,Slaughterhouse,92,68
Jan-10,CLWYD,LANCASHIRE,Slaughterhouse,576,85
Jan-10,CLWYD,LINCOLNSHIRE,Slaughterhouse,4,0
Jan-10,CLWYD,MID GLAMORGAN,Slaughterhouse,15,1
Jan-10,CLWYD,OXFORDSHIRE,Slaughterhouse,0,1
Jan-10,CLWYD,SHROPSHIRE,Slaughterhouse,825,77
Jan-10,CLWYD,SOMERSET,Slaughterhouse,2,2
Jan-10,CLWYD,SOUTH YORKSHIRE,Slaughterhouse,98,47
Jan-10,CLWYD,STAFFORDSHIRE,Slaughterhouse,129,129
Jan-10,CLWYD,STRATHCLYDE,Slaughterhouse,1,11
Jan-10,CLWYD,SURREY,Slaughterhouse,6,8
Jan-10,CLWYD,TYNE & WEAR,Slaughterhouse,36,37
Jan-10,CLWYD,WEST MIDLANDS,Slaughterhouse,3,0
Jan-10,CLWYD,WEST YORKSHIRE,Slaughterhouse,119,104
Jan-10,CLWYD,,Slaughterhouse,299,87
Jan-10,CORNWALL,AVON,Slaughterhouse,19,0
Jan-10,CORNWALL,BEDFORDSHIRE,Slaughterhouse,56,23
Jan-10,CORNWALL,CORNWALL,Slaughterhouse,"4,303",186
Jan-10,CORNWALL,DEVON,Slaughterhouse,258,167
Jan-10,CORNWALL,LANCASHIRE,Slaughterhouse,461,10
Jan-10,CORNWALL,LINCOLNSHIRE,Slaughterhouse,0,0
Jan-10,CORNWALL,MID GLAMORGAN,Slaughterhouse,1,2
Jan-10,CORNWALL,SHROPSHIRE,Slaughterhouse,0,5
Jan-10,CORNWALL,SOMERSET,Slaughterhouse,147,0
Jan-10,CORNWALL,SOUTH YORKSHIRE,Slaughterhouse,73,4
Jan-10,CORNWALL,STAFFORDSHIRE,Slaughterhouse,5,0
Jan-10,CORNWALL,WILTSHIRE,Slaughterhouse,0,3
Jan-10,CORNWALL,,Slaughterhouse,49,18
Jan-10,CUMBRIA,BORDERS,Slaughterhouse,11,13
Jan-10,CUMBRIA,CENTRAL,Slaughterhouse,290,104
Jan-10,CUMBRIA,CHESHIRE,Slaughterhouse,7,0
Jan-10,CUMBRIA,CLEVELAND,Slaughterhouse,324,269
Jan-10,CUMBRIA,CUMBRIA,Slaughterhouse,"1,897",316
Jan-10,CUMBRIA,DEVON,Slaughterhouse,3,15
Jan-10,CUMBRIA,DORSET,Slaughterhouse,2,0
Jan-10,CUMBRIA,DUMFRIES & GALLOWAY,Slaughterhouse,20,13
Jan-10,CUMBRIA,DURHAM,Slaughterhouse,223,177
Jan-10,CUMBRIA,GREATER MANCHESTER,Slaughterhouse,189,237
Jan-10,CUMBRIA,HIGHLAND,Slaughterhouse,24,0
Jan-10,CUMBRIA,HUMBERSIDE,Slaughterhouse,84,56
Jan-10,CUMBRIA,LANCASHIRE,Slaughterhouse,"2,608",526
Jan-10,CUMBRIA,LINCOLNSHIRE,Slaughterhouse,1,0
Jan-10,CUMBRIA,MID GLAMORGAN,Slaughterhouse,6,0
Jan-10,CUMBRIA,NORTH YORKSHIRE,Slaughterhouse,36,1
Jan-10,CUMBRIA,SHROPSHIRE,Slaughterhouse,117,67
Jan-10,CUMBRIA,SOUTH YORKSHIRE,Slaughterhouse,57,4
Jan-10,CUMBRIA,STAFFORDSHIRE,Slaughterhouse,1,0
Jan-10,CUMBRIA,STRATHCLYDE,Slaughterhouse,295,123
Jan-10,CUMBRIA,TAYSIDE,Slaughterhouse,165,68
Jan-10,CUMBRIA,TYNE & WEAR,Slaughterhouse,124,33
Jan-10,CUMBRIA,WEST YORKSHIRE,Slaughterhouse,131,141
Jan-10,CUMBRIA,,Slaughterhouse,280,117
Jan-10,DERBYSHIRE,AVON,Slaughterhouse,0,3
Jan-10,DERBYSHIRE,BEDFORDSHIRE,Slaughterhouse,64,56
Jan-10,DERBYSHIRE,CHESHIRE,Slaughterhouse,19,9
Jan-10,DERBYSHIRE,DERBYSHIRE,Slaughterhouse,329,76
Jan-10,DERBYSHIRE,DEVON,Slaughterhouse,90,82
Jan-10,DERBYSHIRE,DURHAM,Slaughterhouse,0,1
Jan-10,DERBYSHIRE,ESSEX,Slaughterhouse,0,1
Jan-10,DERBYSHIRE,GLOUCESTERSHIRE,Slaughterhouse,1,0
Jan-10,DERBYSHIRE,GREATER MANCHESTER,Slaughterhouse,103,91
Jan-10,DERBYSHIRE,HUMBERSIDE,Slaughterhouse,0,2
Jan-10,DERBYSHIRE,LANCASHIRE,Slaughterhouse,530,40
Jan-10,DERBYSHIRE,LINCOLNSHIRE,Slaughterhouse,153,61
Jan-10,DERBYSHIRE,MID GLAMORGAN,Slaughterhouse,28,0
Jan-10,DERBYSHIRE,NORFOLK,Slaughterhouse,0,6
Jan-10,DERBYSHIRE,NORTH YORKSHIRE,Slaughterhouse,12,1
Jan-10,DERBYSHIRE,NOTTINGHAMSHIRE,Slaughterhouse,9,7
Jan-10,DERBYSHIRE,OXFORDSHIRE,Slaughterhouse,37,26
Jan-10,DERBYSHIRE,SHROPSHIRE,Slaughterhouse,196,32
Jan-10,DERBYSHIRE,SOUTH YORKSHIRE,Slaughterhouse,676,119
Jan-10,DERBYSHIRE,STAFFORDSHIRE,Slaughterhouse,655,354
Jan-10,DERBYSHIRE,STRATHCLYDE,Slaughterhouse,0,0
Jan-10,DERBYSHIRE,SURREY,Slaughterhouse,0,1
Jan-10,DERBYSHIRE,WEST YORKSHIRE,Slaughterhouse,203,53
Jan-10,DERBYSHIRE,WILTSHIRE,Slaughterhouse,0,2
Jan-10,DERBYSHIRE,,Slaughterhouse,583,104
Jan-10,DEVON,AVON,Slaughterhouse,162,14
Jan-10,DEVON,BEDFORDSHIRE,Slaughterhouse,72,48
Jan-10,DEVON,CORNWALL,Slaughterhouse,"3,955",82
Jan-10,DEVON,DEVON,Slaughterhouse,"2,090",171
Jan-10,DEVON,DORSET,Slaughterhouse,49,0
Jan-10,DEVON,EAST SUSSEX,Slaughterhouse,0,7
Jan-10,DEVON,GLOUCESTERSHIRE,Slaughterhouse,75,34
Jan-10,DEVON,HEREFORD & WORCESTER,Slaughterhouse,0,1
Jan-10,DEVON,LANCASHIRE,Slaughterhouse,38,7
Jan-10,DEVON,LINCOLNSHIRE,Slaughterhouse,95,38
Jan-10,DEVON,MID GLAMORGAN,Slaughterhouse,39,2
Jan-10,DEVON,NORTH YORKSHIRE,Slaughterhouse,1,0
Jan-10,DEVON,OXFORDSHIRE,Slaughterhouse,0,12
Jan-10,DEVON,SHROPSHIRE,Slaughterhouse,536,321
Jan-10,DEVON,SOMERSET,Slaughterhouse,"1,736",15
Jan-10,DEVON,SOUTH YORKSHIRE,Slaughterhouse,52,0
Jan-10,DEVON,STAFFORDSHIRE,Slaughterhouse,8,5
Jan-10,DEVON,STRATHCLYDE,Slaughterhouse,0,1
Jan-10,DEVON,WARWICKSHIRE,Slaughterhouse,0,4
Jan-10,DEVON,WEST YORKSHIRE,Slaughterhouse,0,0
Jan-10,DEVON,WILTSHIRE,Slaughterhouse,41,40
Jan-10,DEVON,,Slaughterhouse,950,248
Jan-10,DORSET,AVON,Slaughterhouse,225,8
Jan-10,DORSET,BEDFORDSHIRE,Slaughterhouse,30,12
Jan-10,DORSET,CORNWALL,Slaughterhouse,112,1
Jan-10,DORSET,DEVON,Slaughterhouse,73,54
Jan-10,DORSET,DORSET,Slaughterhouse,332,1
Jan-10,DORSET,GLOUCESTERSHIRE,Slaughterhouse,0,29
Jan-10,DORSET,GRAMPIAN,Slaughterhouse,1,0
Jan-10,DORSET,HAMPSHIRE,Slaughterhouse,1,0
Jan-10,DORSET,LINCOLNSHIRE,Slaughterhouse,146,0
Jan-10,DORSET,MID GLAMORGAN,Slaughterhouse,11,0
Jan-10,DORSET,OXFORDSHIRE,Slaughterhouse,0,2
Jan-10,DORSET,SHROPSHIRE,Slaughterhouse,10,8
Jan-10,DORSET,SOMERSET,Slaughterhouse,759,14
Jan-10,DORSET,SOUTH YORKSHIRE,Slaughterhouse,7,0
Jan-10,DORSET,TAYSIDE,Slaughterhouse,0,0
Jan-10,DORSET,WARWICKSHIRE,Slaughterhouse,1,0
Jan-10,DORSET,WILTSHIRE,Slaughterhouse,0,10
Jan-10,DORSET,,Slaughterhouse,204,52
Jan-10,DUMFRIES & GALLOWAY,BEDFORDSHIRE,Slaughterhouse,0,1
Jan-10,DUMFRIES & GALLOWAY,BORDERS,Slaughterhouse,0,2
Jan-10,DUMFRIES & GALLOWAY,CENTRAL,Slaughterhouse,804,15
Jan-10,DUMFRIES & GALLOWAY,CLEVELAND,Slaughterhouse,2,23
Jan-10,DUMFRIES & GALLOWAY,CUMBRIA,Slaughterhouse,474,125
Jan-10,DUMFRIES & GALLOWAY,DERBYSHIRE,Slaughterhouse,0,6
Jan-10,DUMFRIES & GALLOWAY,DEVON,Slaughterhouse,0,1
Jan-10,DUMFRIES & GALLOWAY,DUMFRIES & GALLOWAY,Slaughterhouse,132,46
Jan-10,DUMFRIES & GALLOWAY,DURHAM,Slaughterhouse,0,20
Jan-10,DUMFRIES & GALLOWAY,GRAMPIAN,Slaughterhouse,"1,014",19
Jan-10,DUMFRIES & GALLOWAY,GREATER MANCHESTER,Slaughterhouse,16,21
Jan-10,DUMFRIES & GALLOWAY,HIGHLAND,Slaughterhouse,61,3
Jan-10,DUMFRIES & GALLOWAY,LANCASHIRE,Slaughterhouse,202,10
Jan-10,DUMFRIES & GALLOWAY,LINCOLNSHIRE,Slaughterhouse,0,6
Jan-10,DUMFRIES & GALLOWAY,NOTTINGHAMSHIRE,Slaughterhouse,0,1
Jan-10,DUMFRIES & GALLOWAY,SOUTH YORKSHIRE,Slaughterhouse,54,87
Jan-10,DUMFRIES & GALLOWAY,STRATHCLYDE,Slaughterhouse,"2,407",128
Jan-10,DUMFRIES & GALLOWAY,TAYSIDE,Slaughterhouse,907,47
Jan-10,DUMFRIES & GALLOWAY,TYNE & WEAR,Slaughterhouse,5,0
Jan-10,DUMFRIES & GALLOWAY,WEST YORKSHIRE,Slaughterhouse,14,17
Jan-10,DUMFRIES & GALLOWAY,,Slaughterhouse,121,137
Jan-10,DURHAM,BORDERS,Slaughterhouse,32,12
Jan-10,DURHAM,CENTRAL,Slaughterhouse,125,70
Jan-10,DURHAM,CLEVELAND,Slaughterhouse,377,153
Jan-10,DURHAM,CUMBRIA,Slaughterhouse,12,2
Jan-10,DURHAM,DERBYSHIRE,Slaughterhouse,34,8
Jan-10,DURHAM,DURHAM,Slaughterhouse,"1,042",188
Jan-10,DURHAM,GREATER MANCHESTER,Slaughterhouse,273,120
Jan-10,DURHAM,HUMBERSIDE,Slaughterhouse,208,21
Jan-10,DURHAM,LANCASHIRE,Slaughterhouse,671,52
Jan-10,DURHAM,LINCOLNSHIRE,Slaughterhouse,268,76
Jan-10,DURHAM,MID GLAMORGAN,Slaughterhouse,10,0
Jan-10,DURHAM,NORTH YORKSHIRE,Slaughterhouse,102,23
Jan-10,DURHAM,SHROPSHIRE,Slaughterhouse,204,63
Jan-10,DURHAM,SOMERSET,Slaughterhouse,45,14
Jan-10,DURHAM,SOUTH YORKSHIRE,Slaughterhouse,24,0
Jan-10,DURHAM,TAYSIDE,Slaughterhouse,57,15
Jan-10,DURHAM,TYNE & WEAR,Slaughterhouse,8,12
Jan-10,DURHAM,WEST YORKSHIRE,Slaughterhouse,249,130
Jan-10,DURHAM,,Slaughterhouse,165,68
Jan-10,DYFED,AVON,Slaughterhouse,337,262
Jan-10,DYFED,BEDFORDSHIRE,Slaughterhouse,138,113
Jan-10,DYFED,CHESHIRE,Slaughterhouse,8,7
Jan-10,DYFED,DEVON,Slaughterhouse,71,45
Jan-10,DYFED,DURHAM,Slaughterhouse,0,5
Jan-10,DYFED,DYFED,Slaughterhouse,"2,083",102
Jan-10,DYFED,GLOUCESTERSHIRE,Slaughterhouse,0,3
Jan-10,DYFED,GREATER MANCHESTER,Slaughterhouse,27,2
Jan-10,DYFED,HAMPSHIRE,Slaughterhouse,18,1
Jan-10,DYFED,LANCASHIRE,Slaughterhouse,429,11
Jan-10,DYFED,LINCOLNSHIRE,Slaughterhouse,232,96
Jan-10,DYFED,MID GLAMORGAN,Slaughterhouse,909,98
Jan-10,DYFED,OXFORDSHIRE,Slaughterhouse,0,5
Jan-10,DYFED,POWYS,Slaughterhouse,153,0
Jan-10,DYFED,SHROPSHIRE,Slaughterhouse,511,75
Jan-10,DYFED,SOMERSET,Slaughterhouse,367,218
Jan-10,DYFED,STAFFORDSHIRE,Slaughterhouse,48,39
Jan-10,DYFED,STRATHCLYDE,Slaughterhouse,66,46
Jan-10,DYFED,SURREY,Slaughterhouse,392,115
Jan-10,DYFED,WEST GLAMORGAN,Slaughterhouse,84,25
Jan-10,DYFED,WEST YORKSHIRE,Slaughterhouse,0,2
Jan-10,DYFED,WILTSHIRE,Slaughterhouse,5,6
Jan-10,DYFED,,Slaughterhouse,164,102
Jan-10,EAST SUSSEX,BEDFORDSHIRE,Slaughterhouse,63,8
Jan-10,EAST SUSSEX,DEVON,Slaughterhouse,0,6
Jan-10,EAST SUSSEX,EAST SUSSEX,Slaughterhouse,153,12
Jan-10,EAST SUSSEX,ESSEX,Slaughterhouse,0,6
Jan-10,EAST SUSSEX,GREATER LONDON,Slaughterhouse,0,4
Jan-10,EAST SUSSEX,HAMPSHIRE,Slaughterhouse,10,14
Jan-10,EAST SUSSEX,KENT,Slaughterhouse,41,6
Jan-10,EAST SUSSEX,LANCASHIRE,Slaughterhouse,0,4
Jan-10,EAST SUSSEX,LINCOLNSHIRE,Slaughterhouse,40,0
Jan-10,EAST SUSSEX,MID GLAMORGAN,Slaughterhouse,5,0
Jan-10,EAST SUSSEX,NORFOLK,Slaughterhouse,0,15
Jan-10,EAST SUSSEX,OXFORDSHIRE,Slaughterhouse,17,0
Jan-10,EAST SUSSEX,SOMERSET,Slaughterhouse,221,24
Jan-10,EAST SUSSEX,SURREY,Slaughterhouse,109,0
Jan-10,EAST SUSSEX,WEST SUSSEX,Slaughterhouse,14,0
Jan-10,EAST SUSSEX,,Slaughterhouse,59,0
Jan-10,ESSEX,BEDFORDSHIRE,Slaughterhouse,136,32
Jan-10,ESSEX,CAMBRIDGESHIRE,Slaughterhouse,6,0
Jan-10,ESSEX,DEVON,Slaughterhouse,0,12
Jan-10,ESSEX,EAST SUSSEX,Slaughterhouse,1,3
Jan-10,ESSEX,ESSEX,Slaughterhouse,508,73
Jan-10,ESSEX,GREATER LONDON,Slaughterhouse,1,1
Jan-10,ESSEX,HAMPSHIRE,Slaughterhouse,69,43
Jan-10,ESSEX,KENT,Slaughterhouse,0,8
Jan-10,ESSEX,LANCASHIRE,Slaughterhouse,0,3
Jan-10,ESSEX,LINCOLNSHIRE,Slaughterhouse,16,0
Jan-10,ESSEX,MID GLAMORGAN,Slaughterhouse,20,0
Jan-10,ESSEX,NORFOLK,Slaughterhouse,163,62
Jan-10,ESSEX,SOMERSET,Slaughterhouse,50,4
Jan-10,ESSEX,SURREY,Slaughterhouse,28,0
Jan-10,ESSEX,,Slaughterhouse,14,0
Jan-10,FIFE,CENTRAL,Slaughterhouse,405,46
Jan-10,FIFE,CUMBRIA,Slaughterhouse,0,5
Jan-10,FIFE,DERBYSHIRE,Slaughterhouse,0,3
Jan-10,FIFE,FIFE,Slaughterhouse,10,19
Jan-10,FIFE,GRAMPIAN,Slaughterhouse,224,38
Jan-10,FIFE,HIGHLAND,Slaughterhouse,0,2
Jan-10,FIFE,LANCASHIRE,Slaughterhouse,1,22
Jan-10,FIFE,STRATHCLYDE,Slaughterhouse,24,105
Jan-10,FIFE,TAYSIDE,Slaughterhouse,436,8
Jan-10,FIFE,,Slaughterhouse,1,31
Jan-10,GLOUCESTERSHIRE,AVON,Slaughterhouse,132,54
Jan-10,GLOUCESTERSHIRE,BEDFORDSHIRE,Slaughterhouse,99,10
Jan-10,GLOUCESTERSHIRE,CORNWALL,Slaughterhouse,7,0
Jan-10,GLOUCESTERSHIRE,CUMBRIA,Slaughterhouse,22,4
Jan-10,GLOUCESTERSHIRE,DEVON,Slaughterhouse,0,12
Jan-10,GLOUCESTERSHIRE,DURHAM,Slaughterhouse,2,0
Jan-10,GLOUCESTERSHIRE,DYFED,Slaughterhouse,59,22
Jan-10,GLOUCESTERSHIRE,GLOUCESTERSHIRE,Slaughterhouse,532,34
