target_id,kind,checkpoint,destination,source_total_kg,observed_kg,lower_kg,upper_kg,covered,width_over_source
1DD99ACF99CA4D53|2016-05-08|Dakar (Sénégal),unresolved_route,,UNRESOLVED,50050.0,50050.0,0.0,43521.739130434784,False,0.8695652173913043
1DD99ACF99CA4D53|2016-05-07|Kita,known_route,Kati,Bamako,8624.0,0.0,1124.8695652173906,8624.0,False,0.8695652173913044
1DD99ACF99CA4D53|2016-05-07|Kita,unresolved_route,,UNRESOLVED,8624.0,8624.0,0.0,7499.13043478261,False,0.8695652173913044
1DD99ACF99CA4D53|2016-05-09|Koulikoro,known_route,Moribabougou,Bamako,170000.0,0.0,0.0,158706.08695652176,True,0.9335652173913045
1DD99ACF99CA4D53|2016-05-09|Koulikoro,known_route,Moribabougou,Conakry (Guinée),170000.0,0.0,0.0,158706.08695652176,True,0.9335652173913045
1DD99ACF99CA4D53|2016-05-09|Koulikoro,known_route,Moribabougou,Grand Marché (Raida Didiba Marché rose Dabani),170000.0,130000.0,0.0,170000.0,True,1.0
1DD99ACF99CA4D53|2016-05-09|Koulikoro,known_route,Moribabougou,Marche zone Industrielle (Marché),170000.0,0.0,0.0,158706.08695652176,True,0.9335652173913045
1DD99ACF99CA4D53|2016-05-09|Koulikoro,unresolved_route,,UNRESOLVED,170000.0,40000.0,0.0,170000.0,True,1.0
1DD99ACF99CA4D53|2016-05-07|Sénou,known_route,Sénou,Bamako,35000.0,0.0,0.0,35000.0,True,1.0
1DD99ACF99CA4D53|2016-05-07|Sénou,known_route,Sénou,Faladie (Bamako),35000.0,0.0,0.0,35000.0,True,1.0
1DD99ACF99CA4D53|2016-05-07|Sénou,unresolved_route,,UNRESOLVED,35000.0,35000.0,0.0,35000.0,True,1.0
8982689288AAE8DF|2016-05-09|Bamako,known_route,Sebeninkoro,Kangaba,308.0,0.0,0.0,290.8135764337477,True,0.9441999234861939
8982689288AAE8DF|2016-05-09|Bamako,known_route,Sebeninkoro,Siby,308.0,0.0,0.0,215.46940682244028,True,0.6995759961767541
8982689288AAE8DF|2016-05-09|Bamako,known_route,Sénou,Sikasso,308.0,0.0,0.0,308.0,True,1.0
8982689288AAE8DF|2016-05-09|Bamako,known_route,Sénou,Sélingué,308.0,0.0,0.0,246.59590858922473,True,0.8006360668481323
8982689288AAE8DF|2016-05-09|Bamako,unresolved_route,,UNRESOLVED,308.0,308.0,0.0,308.0,True,1.0
8982689288AAE8DF|2016-05-07|Bozola (Bamako),known_route,Kati,Kéniéba,10924.0,0.0,0.0,10924.0,True,1.0
8982689288AAE8DF|2016-05-07|Bozola (Bamako),known_route,Kati,Sandaré,10924.0,0.0,0.0,10924.0,True,1.0
8982689288AAE8DF|2016-05-07|Bozola (Bamako),known_route,Moribabougou,Koulikoro,10924.0,0.0,0.0,8311.041824814807,True,0.7608057327732339
8982689288AAE8DF|2016-05-07|Bozola (Bamako),known_route,Moribabougou,Sala,10924.0,0.0,0.0,7798.461090616628,True,0.7138832928063555
8982689288AAE8DF|2016-05-07|Bozola (Bamako),known_route,Sénou,"Faraba (in Faraba, Kéniéba)",10924.0,0.0,0.0,7677.853859040586,True,0.7028427186965018
